Name,Time
COMP9021,"Tue 18:00 - 21:00 (Weeks:1-9,10-12), Thu 13:00 - 14:00 (Weeks:1-9,10-12)"
COMP9024,"Tue 18:00 - 21:00 (Weeks:2-9,10-13)"
COMP9032,"Mon 18:00 - 21:00 (Weeks:1-9,10-12)"
COMP9041,"Tue 16:00 - 18:00 (Weeks:1-9,10-12), Thu 17:00 - 18:00 (Weeks:1-9,10-12)"
COMP9101,"Mon 12:00 - 14:00 (Weeks:1-5,6-12), Tue 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP9102,"Mon 18:00 - 21:00 (Weeks:1-5,6-12)"
COMP9153,"Mon 15:00 - 17:00 (Weeks:1-5,6-12), Wed 12:00 - 13:00 (Weeks:1-5,6-12)"
COMP9161,"Tue 14:00 - 16:00 (Weeks:1-9,10-12), Thu 14:00 - 15:00 (Weeks:1-9,10-12), Thu 15:00 - 16:00 (Weeks:1-9,10-12)"
COMP9201,"Mon 15:00 - 17:00 (Weeks:1-5,6-12), Wed 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP9211,"Wed 09:00 - 11:00 (Weeks:1-5,6-12), Thu 13:00 - 14:00 (Weeks:1-5,6-12)"
COMP9222,"Tue 09:00 - 11:00 (Weeks:1-9,10-12), Thu 13:00 - 14:00 (Weeks:1-9,10-12)"
COMP9283,"Mon 15:00 - 17:00 (Weeks:1-5,6-12), Wed 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP9311,"Mon 15:00 - 18:00 (Weeks:1-9,10-12)"
COMP9313,"Wed 18:00 - 21:00 (Weeks:1-9,10-12)"
COMP9331,"Tue 12:00 - 14:00 (Weeks:1-9,10-12), Wed 12:00 - 13:00 (Weeks:1-9,10-12)"
COMP9336,"Tue 15:00 - 18:00 (Weeks:1-9,10-12)"
COMP9337,"Wed 12:00 - 15:00 (Weeks:2-5,6-13)"
COMP9414,"Thu 18:00 - 20:00 (Weeks:1-5,6-12)"
COMP9415,"Mon 12:00 - 15:00 (Weeks:1-9,11-13)"
COMP9431,"Mon 12:00 - 14:00 (Weeks:1-9,10-12), Wed 12:00 - 14:00 (Weeks:1-9,10-12)"
COMP9511,"Tue 15:00 - 18:00 (Weeks:1-9,10-12)"
COMP9801,"Mon 12:00 - 14:00 (Weeks:1-5,6-12), Tue 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP9814,"Thu 18:00 - 20:00 (Weeks:1-5,6-12)"
COMP9900,"Tue 10:00 - 12:00 (Weeks:1-9,10-12)"
