Course Code,Semester,Course Name,Course Aliases, Main Course Staff  
COMP9311 , 18s2 , Database Systems ,  , Mohammad Ebrahimi; Rachid Hamadi; 
COMP9313 , 18s2 , Big Data Management ,  , Xin Cao; 
COMP9315 , 18s2 , DBMS Implementation ,  , Jashank Jeremy; John Shepherd; 
COMP9319 , 18s2 , Web Data Compression and Search ,  , Raymond Wong; 
COMP9321 , 18s2 , Data Services Engineering ,  , Mohammadali Yaghoubzadehfard; Morty Al-Banna; 
COMP9323 , 18s2 , Software as a Service Project ,  , Boualem Benatallah; Morty Al-Banna; 
COMP9418 , 18s2 , Advanced Topics In Statistical Machine Learning ,  , Astrid Dahl; Amir Dezfouli; Edwin Bonilla; 
COMP9444 , 18s2 , Neural Networks and Deep Learning ,  , Alexander Long; Alan Blair; 
COMP9517 , 18s2 , Computer Vision ,  , Xiongcai Cai; Manna Elizabeth Philip; Arcot Sowmya; Annette Spooner; 
COMP9900 , 18s2 , Information Technology Project , COMP3900 , Rachid Hamadi; Wael Alghamdi; 
ENGG1811 , 18s2 , Computing for Engineers  ,  , Ashesh Mahidadia; Mei Cheng Whale; Chun Tung Chou; 
GSOE9210 , 18s2 , Engineering Decisions ,  , Victor Jauregui; 
SENG2011 , 18s2 , Software Engineering Workshop 2A ,  , Albert Nymeyer; Vintony Padmadiredja; Ben Delaney; Timothy Hor; Lam Bao Quynh VO; Addo Wondo; Carroll Morgan; 
COMP1000 , 18s1 , Web Spreadsheets and Databases ,  , Aarthi Natarajan; Ali Darejeh; Isaac Carr; 
COMP1511 , 18s1 , Programming Fundamentals ,  , Ashesh Mahidadia; Mei Cheng Whale; John Shepherd; Andrew Bennett; Andrew Taylor; 
COMP1521 , 18s1 , Computer Systems Fundamentals ,  , Steven Parker; Mei Cheng Whale; John Shepherd; Wael Alghamdi; 
COMP1531 , 18s1 , Software Engineering Fundamentals ,  , Lyn Collins; Qingyang Lei; Matthew Phillips; Isaac Carr; Aarthi Natarajan; Ee Kho; Mei Cheng Whale; 
COMP1911 , 18s1 , Computing 1A ,  , Angela Finlayson; Mei Cheng Whale; 
COMP2121 , 18s1 , Microprocessors and Interfacing ,  , Sri Parameswaran; Daniel Murphy; 
COMP2521 , 18s1 , Data Structures and Algorithms ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP3141 , 18s1 , Software System Design and Implementation ,  , Gabriele Keller; 
COMP3211 , 18s1 , Computer Architecture ,  , Hui Guo; 
COMP3311 , 18s1 , Database Systems ,  , Lyn Collins; John Shepherd; Chaoxu Zheng; Qingyang Lei; Rachid Hamadi; 
COMP3411 , 18s1 , Artificial Intelligence , COMP9814                  COMP9414 , Alan Blair; 
COMP4601 , 18s1 , Design Project B ,  , Oliver Diessel; Alexander Kroh; 
COMP6324 , 18s1 , IoT Service Design and Engineering ,  , Peter Klement; Lina Yao; Morty Al-Banna; 
COMP9020 , 18s1 , Foundations of Computer Science ,  , Michael Thielscher; Michael Schofield; 
COMP9021 , 18s1 , Principles of Programming ,  , Matthew Perry; Eric Martin; 
COMP9024 , 18s1 , Data Structures and Algorithms ,  , Hui Wu; 
COMP9243 , 18s1 , Distributed Systems ,  , Ihor Kuz; 
COMP9321 , 18s1 , Data Services Engineering ,  , Helen Paik; Alireza Tabebordbar; Mohammadali Yaghoubzadehfard; 
