Course Staff, Course Code,Semester,Course Name  
Andrew Taylor,COMP1511 , 18s1 , Programming Fundamentals
Steven Parker,COMP1521 , 18s1 , Computer Systems Fundamentals
Mei Cheng Whale,COMP1521 , 18s1 , Computer Systems Fundamentals
John Shepherd,COMP1521 , 18s1 , Computer Systems Fundamentals
Wael Alghamdi,COMP1521 , 18s1 , Computer Systems Fundamentals
Lyn Collins,COMP1531 , 18s1 , Software Engineering Fundamentals
Qingyang Lei,COMP1531 , 18s1 , Software Engineering Fundamentals
Matthew Phillips,COMP1531 , 18s1 , Software Engineering Fundamentals
Isaac Carr,COMP1531 , 18s1 , Software Engineering Fundamentals
Aarthi Natarajan,COMP1531 , 18s1 , Software Engineering Fundamentals
Ee Kho,COMP1531 , 18s1 , Software Engineering Fundamentals
Mei Cheng Whale,COMP1531 , 18s1 , Software Engineering Fundamentals
Angela Finlayson,COMP1911 , 18s1 , Computing 1A
Mei Cheng Whale,COMP1911 , 18s1 , Computing 1A
Sri Parameswaran,COMP2121 , 18s1 , Microprocessors and Interfacing
Daniel Murphy,COMP2121 , 18s1 , Microprocessors and Interfacing
Ashesh Mahidadia,COMP2521 , 18s1 , Data Structures and Algorithms
Mei Cheng Whale,COMP2521 , 18s1 , Data Structures and Algorithms
Gabriele Keller,COMP3141 , 18s1 , Software System Design and Implementation
Hui Guo,COMP3211 , 18s1 , Computer Architecture
Lyn Collins,COMP3311 , 18s1 , Database Systems
John Shepherd,COMP3311 , 18s1 , Database Systems
Chaoxu Zheng,COMP3311 , 18s1 , Database Systems
Qingyang Lei,COMP3311 , 18s1 , Database Systems
Rachid Hamadi,COMP3311 , 18s1 , Database Systems
Alan Blair,COMP3411 , 18s1 , Artificial Intelligence
Oliver Diessel,COMP4601 , 18s1 , Design Project B
Alexander Kroh,COMP4601 , 18s1 , Design Project B
Peter Klement,COMP6324 , 18s1 , IoT Service Design and Engineering
Lina Yao,COMP6324 , 18s1 , IoT Service Design and Engineering
